round,score,status
1,7.499054975708708,IMPROVED
2,7.204856295877901,ROLLBACK
3,8.044831665138306,IMPROVED
4,7.985453717467078,ROLLBACK
5,7.855671937903459,ROLLBACK
6,8.12255883984388,IMPROVED
7,8.410464819500735,IMPROVED
8,7.4257274736112295,ROLLBACK
9,7.495397720796101,ROLLBACK
10,8.481681380904204,IMPROVED
11,8.988588451639039,IMPROVED
12,7.653526602066422,ROLLBACK
13,7.891706924074649,ROLLBACK
14,8.125825397180092,ROLLBACK
15,8.699583593501847,ROLLBACK
16,8.303980323259491,ROLLBACK
17,7.663255397337856,ROLLBACK
18,8.403715994153309,ROLLBACK
19,8.415505150557092,ROLLBACK
20,9.129914721298235,IMPROVED
