task_id,status,tokens,fallback_triggered,duration
issue-1,PASS,1600,0,45.5
issue-2,PASS,1700,0,45.5
issue-3,FAIL,1800,0,45.5
issue-4,PASS,1900,0,45.5
issue-5,PASS,2000,1,45.5
issue-6,FAIL,2100,0,45.5
issue-7,PASS,2200,0,45.5
issue-8,PASS,2300,0,45.5
issue-9,FAIL,2400,0,45.5
issue-10,PASS,2500,1,45.5
issue-11,PASS,2600,0,45.5
issue-12,FAIL,2700,0,45.5
issue-13,PASS,2800,0,45.5
issue-14,PASS,2900,0,45.5
issue-15,FAIL,3000,1,45.5
issue-16,PASS,3100,0,45.5
issue-17,PASS,3200,0,45.5
issue-18,FAIL,3300,0,45.5
issue-19,PASS,3400,0,45.5
issue-20,PASS,3500,1,45.5
issue-21,FAIL,3600,0,45.5
issue-22,PASS,3700,0,45.5
issue-23,PASS,3800,0,45.5
issue-24,FAIL,3900,0,45.5
issue-25,PASS,4000,1,45.5
issue-26,PASS,4100,0,45.5
issue-27,FAIL,4200,0,45.5
issue-28,PASS,4300,0,45.5
issue-29,PASS,4400,0,45.5
issue-30,FAIL,4500,1,45.5
issue-31,PASS,4600,0,45.5
issue-32,PASS,4700,0,45.5
issue-33,FAIL,4800,0,45.5
issue-34,PASS,4900,0,45.5
issue-35,PASS,5000,1,45.5
issue-36,FAIL,5100,0,45.5
issue-37,PASS,5200,0,45.5
issue-38,PASS,5300,0,45.5
issue-39,FAIL,5400,0,45.5
issue-40,PASS,5500,1,45.5
issue-41,PASS,5600,0,45.5
issue-42,FAIL,5700,0,45.5
issue-43,PASS,5800,0,45.5
issue-44,PASS,5900,0,45.5
issue-45,FAIL,6000,1,45.5
issue-46,PASS,6100,0,45.5
issue-47,PASS,6200,0,45.5
issue-48,FAIL,6300,0,45.5
issue-49,PASS,6400,0,45.5
issue-50,PASS,6500,1,45.5
issue-51,FAIL,6600,0,45.5
issue-52,PASS,6700,0,45.5
issue-53,PASS,6800,0,45.5
issue-54,FAIL,6900,0,45.5
issue-55,PASS,7000,1,45.5
issue-56,PASS,7100,0,45.5
issue-57,FAIL,7200,0,45.5
issue-58,PASS,7300,0,45.5
issue-59,PASS,7400,0,45.5
issue-60,FAIL,7500,1,45.5
issue-61,PASS,7600,0,45.5
issue-62,PASS,7700,0,45.5
issue-63,FAIL,7800,0,45.5
issue-64,PASS,7900,0,45.5
issue-65,PASS,8000,1,45.5
issue-66,FAIL,8100,0,45.5
issue-67,PASS,8200,0,45.5
issue-68,PASS,8300,0,45.5
issue-69,FAIL,8400,0,45.5
issue-70,PASS,8500,1,45.5
issue-71,PASS,8600,0,45.5
issue-72,FAIL,8700,0,45.5
issue-73,PASS,8800,0,45.5
issue-74,PASS,8900,0,45.5
issue-75,FAIL,9000,1,45.5
issue-76,PASS,9100,0,45.5
issue-77,PASS,9200,0,45.5
issue-78,FAIL,9300,0,45.5
issue-79,PASS,9400,0,45.5
issue-80,PASS,9500,1,45.5
issue-81,FAIL,9600,0,45.5
issue-82,PASS,9700,0,45.5
issue-83,PASS,9800,0,45.5
issue-84,FAIL,9900,0,45.5
issue-85,PASS,10000,1,45.5
issue-86,PASS,10100,0,45.5
issue-87,FAIL,10200,0,45.5
issue-88,PASS,10300,0,45.5
issue-89,PASS,10400,0,45.5
issue-90,FAIL,10500,1,45.5
issue-91,PASS,10600,0,45.5
issue-92,PASS,10700,0,45.5
issue-93,FAIL,10800,0,45.5
issue-94,PASS,10900,0,45.5
issue-95,PASS,11000,1,45.5
issue-96,FAIL,11100,0,45.5
issue-97,PASS,11200,0,45.5
issue-98,PASS,11300,0,45.5
issue-99,FAIL,11400,0,45.5
issue-100,PASS,11500,1,45.5
