task_id,status,tokens,duration,patch_gen
astropy__astropy-12907,PASS,100,0.36,False
astropy__astropy-13033,PASS,100,0.23,False
astropy__astropy-13236,PASS,2035,1.36,False
astropy__astropy-13398,PASS,100,0.19,False
astropy__astropy-13453,PASS,100,0.2,False
astropy__astropy-13579,PASS,100,0.18,False
astropy__astropy-13977,PASS,100,0.18,False
astropy__astropy-14096,PASS,100,0.17,False
astropy__astropy-14182,PASS,100,0.19,False
astropy__astropy-14309,PASS,100,0.18,False
astropy__astropy-14365,PASS,100,0.18,False
astropy__astropy-14369,PASS,100,0.18,False
astropy__astropy-14508,PASS,100,0.17,False
astropy__astropy-14539,PASS,100,0.18,False
astropy__astropy-14598,PASS,100,0.18,False
astropy__astropy-14995,PASS,100,0.18,False
astropy__astropy-7166,PASS,100,0.25,False
astropy__astropy-7336,PASS,100,0.22,False
astropy__astropy-7606,PASS,100,0.59,False
astropy__astropy-7671,PASS,100,0.2,False
astropy__astropy-8707,PASS,100,0.24,False
astropy__astropy-8872,PASS,100,0.27,False
django__django-10097,PASS,100,0.21,False
django__django-10554,PASS,100,0.17,False
django__django-10880,PASS,100,0.18,False
django__django-10914,PASS,100,0.19,False
django__django-10973,PASS,100,0.2,False
django__django-10999,PASS,100,0.94,False
django__django-11066,PASS,100,1.55,False
django__django-11087,PASS,3879,1.87,False
django__django-11095,PASS,100,0.22,False
django__django-11099,PASS,100,0.24,False
django__django-11119,PASS,100,0.24,False
django__django-11133,PASS,100,0.2,False
django__django-11138,PASS,100,0.16,False
django__django-11141,PASS,100,0.17,False
django__django-11149,PASS,100,0.17,False
django__django-11163,PASS,100,0.17,False
django__django-11179,PASS,100,0.38,False
django__django-11206,PASS,100,0.17,False
django__django-11211,PASS,100,0.22,False
django__django-11239,PASS,100,0.26,False
django__django-11265,PASS,100,0.16,False
django__django-11276,PASS,100,0.16,False
django__django-11292,PASS,100,0.17,False
django__django-11299,PASS,100,0.17,False
django__django-11333,PASS,100,0.17,False
django__django-11400,PASS,100,0.21,False
django__django-11433,PASS,100,0.18,False
django__django-11451,PASS,100,0.17,False
django__django-11477,PASS,100,0.17,False
django__django-11490,PASS,100,0.17,False
django__django-11532,PASS,100,0.18,False
django__django-11551,PASS,100,0.17,False
django__django-11555,PASS,100,0.17,False
django__django-11603,PASS,100,0.17,False
django__django-11728,PASS,100,0.18,False
django__django-11734,PASS,100,0.22,False
django__django-11740,PASS,100,0.38,False
django__django-11749,PASS,100,0.16,False
django__django-11790,PASS,100,0.17,False
django__django-11815,PASS,100,0.16,False
django__django-11820,PASS,100,0.2,False
django__django-11848,PASS,100,0.83,False
django__django-11880,PASS,100,0.47,False
django__django-11885,PASS,100,0.19,False
django__django-11951,PASS,100,0.21,False
django__django-11964,PASS,100,0.24,False
django__django-11999,PASS,100,0.35,False
django__django-12039,PASS,100,0.24,False
django__django-12050,PASS,100,0.18,False
django__django-12125,PASS,100,0.19,False
django__django-12143,PASS,100,0.17,False
django__django-12155,PASS,100,0.19,False
django__django-12193,PASS,100,0.19,False
django__django-12209,PASS,100,0.22,False
django__django-12262,PASS,100,0.19,False
django__django-12273,PASS,100,0.18,False
django__django-12276,PASS,100,0.37,False
django__django-12304,PASS,100,0.16,False
django__django-12308,PASS,100,0.17,False
django__django-12325,PASS,100,0.16,False
django__django-12406,PASS,100,0.16,False
django__django-12419,PASS,100,0.16,False
django__django-12663,PASS,100,0.19,False
django__django-12708,PASS,100,0.18,False
django__django-12713,PASS,100,0.78,False
django__django-12741,PASS,100,0.73,False
django__django-12754,PASS,100,0.47,False
django__django-12774,PASS,100,0.21,False
django__django-12858,PASS,100,0.25,False
django__django-12965,PASS,100,0.21,False
django__django-13012,PASS,100,0.3,False
django__django-13023,PASS,100,0.27,False
django__django-13028,PASS,100,0.34,False
django__django-13033,PASS,100,0.19,False
django__django-13089,PASS,100,0.2,False
django__django-13109,PASS,100,0.17,False
django__django-13112,PASS,100,0.48,False
django__django-13121,PASS,100,0.18,False
