round,temperature,top_p,nas_aggression,score
5,0.7,0.9,0.8,0.85
6,0.3,0.9,0.7,0.92
7,0.4,0.85,0.75,0.925
8,0.35,0.88,0.78,0.931
9,0.3,0.9,0.8,0.942
10,0.25,0.92,0.82,0.948
11,0.2,0.93,0.85,0.955
12,0.18,0.94,0.87,0.961
13,0.15,0.95,0.88,0.968
14,0.12,0.96,0.9,0.972
15,0.1,0.97,0.92,0.978
16,0.08,0.98,0.93,0.982
17,0.05,0.98,0.94,0.985
18,0.03,0.99,0.95,0.991
19,0.02,0.99,0.96,0.994
20,0.01,0.99,0.97,0.998
21,0.5,0.8,0.7,0.88
22,0.45,0.82,0.72,0.9
23,0.4,0.85,0.75,0.915
24,0.35,0.87,0.78,0.922
25,0.3,0.89,0.8,0.935
26,0.25,0.9,0.82,0.941
27,0.22,0.91,0.85,0.948
28,0.2,0.92,0.87,0.954
29,0.18,0.93,0.88,0.961
30,0.15,0.94,0.9,0.965
31,0.12,0.95,0.91,0.97
32,0.1,0.96,0.92,0.975
33,0.08,0.97,0.93,0.979
34,0.06,0.97,0.94,0.982
35,0.05,0.98,0.95,0.985
36,0.04,0.98,0.96,0.988
37,0.03,0.99,0.96,0.991
38,0.02,0.99,0.97,0.993
39,0.01,0.99,0.98,0.995
40,0.01,0.99,0.99,0.998
41,0.6,0.7,0.7,0.85
42,0.55,0.75,0.72,0.88
43,0.5,0.78,0.75,0.905
44,0.45,0.8,0.78,0.912
45,0.4,0.82,0.8,0.925
46,0.35,0.85,0.82,0.932
47,0.3,0.88,0.85,0.941
48,0.25,0.9,0.88,0.952
49,0.2,0.92,0.9,0.961
50,0.18,0.93,0.91,0.968
51,0.15,0.94,0.92,0.975
52,0.12,0.95,0.93,0.981
53,0.1,0.96,0.94,0.985
54,0.08,0.97,0.95,0.989
55,0.06,0.98,0.96,0.992
56,0.04,0.98,0.96,0.994
57,0.03,0.99,0.97,0.996
58,0.02,0.99,0.98,0.997
59,0.01,0.99,0.99,0.998
60,0.01,0.99,0.99,0.999
61,0.5,0.7,0.7,0.82
62,0.45,0.72,0.72,0.85
63,0.4,0.75,0.75,0.885
64,0.35,0.78,0.78,0.9
65,0.3,0.8,0.8,0.915
66,0.25,0.82,0.82,0.925
67,0.22,0.85,0.85,0.938
68,0.2,0.88,0.88,0.945
69,0.18,0.9,0.9,0.952
70,0.15,0.92,0.92,0.96
71,0.12,0.94,0.94,0.968
72,0.1,0.95,0.95,0.975
73,0.08,0.96,0.96,0.982
74,0.06,0.97,0.97,0.988
75,0.05,0.98,0.98,0.991
76,0.04,0.98,0.98,0.993
77,0.03,0.99,0.99,0.995
78,0.02,0.99,0.99,0.997
79,0.01,0.99,0.99,0.998
80,0.01,0.99,0.99,0.999
81,0.5,0.7,0.7,0.88
82,0.45,0.72,0.72,0.9
83,0.4,0.75,0.75,0.92
84,0.35,0.78,0.78,0.935
85,0.3,0.8,0.8,0.941
86,0.25,0.82,0.82,0.952
87,0.22,0.85,0.85,0.96
88,0.2,0.88,0.88,0.968
89,0.18,0.9,0.9,0.975
90,0.15,0.92,0.92,0.982
91,0.12,0.94,0.94,0.988
92,0.1,0.95,0.95,0.991
93,0.08,0.96,0.96,0.993
94,0.06,0.97,0.97,0.995
95,0.05,0.98,0.98,0.996
96,0.04,0.98,0.98,0.997
97,0.03,0.99,0.99,0.998
98,0.02,0.99,0.99,0.999
99,0.01,0.99,0.99,0.999
100,0.01,0.99,0.99,1.0
101,0.5,0.8,0.7,0.85
105,0.3,0.85,0.8,0.92
110,0.15,0.9,0.9,0.96
120,0.01,0.99,0.99,0.999
