round,score,status
1,7.4570808364069965,IMPROVED
2,7.4004818770684695,ROLLBACK
3,7.349732909789817,ROLLBACK
4,7.843769972063546,IMPROVED
5,7.444525545518491,ROLLBACK
6,8.00139379657922,IMPROVED
7,7.8069587287901365,ROLLBACK
8,7.977857670008125,ROLLBACK
9,8.05951284897048,IMPROVED
10,8.130241717751806,IMPROVED
11,8.723553472593084,IMPROVED
12,8.041025000377124,ROLLBACK
13,7.886859352624167,ROLLBACK
14,8.277409097752725,ROLLBACK
15,8.569881473888563,ROLLBACK
16,8.525542444521477,ROLLBACK
17,8.521913177507926,ROLLBACK
18,8.909632446714394,IMPROVED
19,8.412895579446056,ROLLBACK
20,8.013031792365876,ROLLBACK
