round,score,status
1,7.6,IMPROVED
2,7.7,IMPROVED
3,7.8,IMPROVED
4,7.9,IMPROVED
5,8.0,IMPROVED
6,8.1,IMPROVED
7,8.2,IMPROVED
8,8.3,IMPROVED
9,8.4,IMPROVED
10,8.5,IMPROVED
11,8.6,IMPROVED
12,8.7,IMPROVED
13,8.8,IMPROVED
14,8.9,IMPROVED
15,9.0,IMPROVED
16,9.1,IMPROVED
17,9.2,IMPROVED
18,9.3,IMPROVED
19,9.4,IMPROVED
20,9.5,IMPROVED
1,7.6,IMPROVED
2,7.7,IMPROVED
3,7.8,IMPROVED
4,7.9,IMPROVED
5,8.0,IMPROVED
6,8.1,IMPROVED
7,8.2,IMPROVED
8,8.3,IMPROVED
9,8.4,IMPROVED
10,8.5,IMPROVED
11,8.6,IMPROVED
12,8.7,IMPROVED
13,8.8,IMPROVED
14,8.9,IMPROVED
15,9.0,IMPROVED
16,9.1,IMPROVED
17,9.2,IMPROVED
18,9.3,IMPROVED
19,9.4,IMPROVED
20,9.5,IMPROVED
