round,score,status
1,7.394762728517715,IMPROVED
2,7.811185363658127,IMPROVED
3,7.889661270494706,IMPROVED
4,7.381893919794477,ROLLBACK
5,7.79098513857995,ROLLBACK
6,8.03571343227315,IMPROVED
7,8.128517416461612,IMPROVED
8,8.294744820828315,IMPROVED
9,7.6358962528232555,ROLLBACK
10,7.691696037492222,ROLLBACK
11,7.89243982553876,ROLLBACK
12,7.967501208676534,ROLLBACK
13,8.310499040175646,IMPROVED
14,8.451588007487015,IMPROVED
15,8.371350678045202,ROLLBACK
16,8.589276771335395,IMPROVED
17,8.911281237150128,IMPROVED
18,8.495209702520894,ROLLBACK
19,8.376114972909471,ROLLBACK
20,8.34310361625338,ROLLBACK
20,0.85,25.0,0.25,21,0.25,0.999
